month,excess_return,total_return,gross_return,cost,turnover,n_markets,equity_excess,equity_total
1994-08-01,-0.00023062,0.00335611,0.00311009,0.00334071,4.271055,22,1.956092,2.617990
1994-09-01,0.01864367,0.02246243,0.02160289,0.00295922,4.094045,22,1.992561,2.676796
1994-10-01,0.02031191,0.02422652,0.02316518,0.00285327,3.930099,22,2.033033,2.741646
1994-11-01,0.02450077,0.02873413,0.02792361,0.00342284,3.762036,22,2.082844,2.820425
1994-12-01,-0.00474140,-0.00009531,0.00017473,0.00491612,5.655808,22,2.072969,2.820156
1995-01-01,-0.00438921,0.00022520,-0.00177313,0.00261608,3.978081,22,2.063870,2.820791
1995-02-01,0.02096263,0.02583018,0.02420475,0.00324212,6.178297,22,2.107134,2.893652
1995-03-01,0.13236197,0.13718211,0.13510088,0.00273891,6.157365,22,2.386039,3.290610
1995-04-01,0.06865702,0.07342972,0.07053790,0.00188088,2.573794,22,2.549857,3.532238
1995-05-01,0.09808235,0.10284715,0.09955856,0.00147620,2.272079,22,2.799953,3.895519
1995-06-01,-0.02983880,-0.02512148,-0.02822852,0.00161029,2.712592,22,2.716406,3.797658
1995-07-01,-0.04237060,-0.03781959,-0.04026282,0.00210778,3.388240,22,2.601310,3.654032
1995-08-01,-0.01420737,-0.00965636,-0.01188503,0.00232234,4.761013,22,2.564352,3.618747
1995-09-01,0.02869989,0.03313191,0.03079844,0.00209855,4.520464,22,2.637949,3.738643
1995-10-01,0.03557587,0.03996819,0.03700608,0.00143021,2.377820,22,2.731796,3.888070
1995-11-01,0.01821963,0.02267546,0.01953169,0.00131206,1.833211,22,2.781568,3.976234
1995-12-01,0.02321133,0.02766716,0.02477712,0.00156579,2.640141,22,2.846132,4.086245
1996-01-01,0.01054731,0.01470109,0.01218649,0.00163918,2.615946,22,2.876151,4.146317
1996-02-01,-0.04619005,-0.04207609,-0.04433382,0.00185623,3.213943,22,2.743302,3.971856
1996-03-01,0.05945683,0.06354689,0.06225479,0.00279796,4.536172,22,2.906410,4.224255
1996-04-01,0.02886520,0.03304286,0.03103213,0.00216693,3.578113,22,2.990304,4.363837
1996-05-01,0.00268563,0.00687125,0.00519983,0.00251420,4.484577,22,2.998335,4.393822
1996-06-01,0.01012528,0.01434273,0.01286892,0.00274364,6.022400,22,3.028694,4.456841
1996-07-01,-0.04010342,-0.03588597,-0.03771453,0.00238888,4.348959,22,2.907233,4.296903
1996-08-01,0.07469725,0.07902602,0.07813271,0.00343546,5.894840,22,3.124395,4.636470
1996-09-01,0.05264744,0.05695237,0.05564548,0.00299804,5.638886,22,3.288887,4.900528
1996-10-01,0.03610827,0.04029389,0.03801172,0.00190345,3.774963,22,3.407643,5.097990
1996-11-01,0.06217586,0.06638536,0.06350546,0.00132960,1.504595,22,3.619516,5.436422
1996-12-01,-0.00193369,0.00224397,-0.00081950,0.00111419,1.292820,22,3.612517,5.448621
1997-01-01,0.07921648,0.08345779,0.08113150,0.00191503,2.996424,22,3.898687,5.903351
1997-02-01,-0.00196459,0.00222899,0.00014932,0.00211391,3.725383,22,3.891028,5.916509
1997-03-01,0.01159595,0.01584522,0.01376888,0.00217294,3.600955,22,3.936148,6.010257
1997-04-01,0.02394098,0.02829358,0.02593026,0.00198928,3.670690,22,4.030383,6.180309
1997-05-01,-0.06114057,-0.05684359,-0.05898040,0.00216018,4.776220,22,3.783964,5.828998
1997-06-01,0.03546360,0.03950584,0.03768370,0.00222010,4.127248,22,3.918156,6.059278
1997-07-01,0.08634814,0.09062127,0.08808877,0.00174063,3.124128,22,4.256482,6.608377
1997-08-01,-0.02077709,-0.01650396,-0.01946522,0.00131187,1.981017,22,4.168045,6.499313
1997-09-01,0.03724047,0.04150565,0.03902046,0.00177999,3.309639,22,4.323265,6.769071
1997-10-01,0.04079180,0.04491372,0.04246106,0.00166927,2.957146,22,4.499618,7.073095
1997-11-01,0.00593774,0.01017905,0.00782264,0.00188490,2.978613,22,4.526336,7.145092
1997-12-01,0.08935719,0.09360646,0.09107899,0.00172180,3.422405,22,4.930797,7.813919
1998-01-01,0.01545281,0.01981336,0.01689386,0.00144105,2.497330,22,5.006991,7.968739
1998-02-01,-0.02158531,-0.01735990,-0.02028796,0.00129735,2.287798,22,4.898914,7.830403
1998-03-01,0.05310536,0.05743413,0.05572414,0.00261878,4.751828,22,5.159072,8.280135
1998-04-01,0.00118091,0.00538245,0.00301491,0.00183400,2.958518,22,5.165165,8.324702
1998-05-01,0.08636945,0.09044358,0.08860582,0.00223637,4.263737,22,5.611277,9.077618
1998-06-01,0.00822152,0.01231955,0.01035540,0.00213388,4.032043,22,5.657411,9.189450
1998-07-01,0.05936647,0.06352025,0.06084393,0.00147746,2.350296,22,5.993271,9.773167
1998-08-01,0.13769299,0.14184677,0.13941843,0.00172544,3.351870,22,6.818502,11.159459
1998-09-01,0.03965948,0.04370172,0.04088861,0.00122913,2.026925,22,7.088921,11.647146
1998-10-01,-0.02874426,-0.02517356,-0.02754753,0.00119673,1.804091,22,6.885155,11.353946
1998-11-01,-0.02857609,-0.02503744,-0.02620555,0.00237054,3.710324,22,6.688404,11.069672
1998-12-01,-0.01740390,-0.01367308,-0.01491063,0.00249327,4.492918,22,6.572000,10.918316
